Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-08,2016,2,8,Monday,06,2016-06,53.09,54.47,52.63,54.14,21457500,47.73,-0.006423074626182967,51.38,51.2332
2016-02-09,2016,2,9,Tuesday,06,2016-06,53.19,55.29,53.17,54.42,11605100,47.97,0.005171533904147152,51.23428571428571,51.107692307692304
2016-02-10,2016,2,10,Wednesday,06,2016-06,55.28,56.35,55.01,55.14,11663900,48.61,0.013230833969064104,51.00142857142857,51.01518518518519
2016-02-11,2016,2,11,Thursday,06,2016-06,53.89,55.39,53.55,54.92,12106100,48.41,-0.003990278179976103,50.74571428571429,50.92214285714285
2016-02-12,2016,2,12,Friday,06,2016-06,55.56,56.04,55.04,55.86,8680200,49.24,0.0171160128916521,50.64071428571428,50.86413793103448
2016-02-16,2016,2,16,Tuesday,07,2016-07,56.79,56.85,55.98,56.41,11594800,49.73,0.009845877875758857,50.51428571428571,50.82633333333333
2016-02-17,2016,2,17,Wednesday,07,2016-07,56.7,57.66,56.16,57.63,11955200,50.8,0.021627801204867847,50.52571428571429,50.82548387096774
2016-02-18,2016,2,18,Thursday,07,2016-07,57.57,57.57,56.67,56.96,8494000,50.21,-0.011626089173872312,50.39071428571428,50.80625
2016-02-19,2016,2,19,Friday,07,2016-07,56.92,57.86,56.52,57.67,9033600,50.84,0.012464885626492395,50.207857142857144,50.80727272727273
2016-02-22,2016,2,22,Monday,08,2016-08,58.63,58.95,58.17,58.87,8390700,51.9,0.020808301380349503,50.06142857142857,50.83941176470588
2016-02-23,2016,2,23,Tuesday,08,2016-08,58.45,58.9,58.0,58.46,7064100,51.54,-0.006964854435843382,49.92071428571428,50.859428571428566
2016-02-24,2016,2,24,Wednesday,08,2016-08,57.21,58.35,56.28,58.11,10780900,51.23,-0.005986811693380223,49.83142857142857,50.86972222222222
2016-02-25,2016,2,25,Thursday,08,2016-08,58.46,58.75,58.0,58.75,6262100,51.79,0.011013704485466569,49.86000000000001,50.894594594594594
2016-02-26,2016,2,26,Friday,08,2016-08,59.0,59.21,57.92,58.34,7473400,51.43,-0.006979080950061833,50.10214285714285,50.90868421052632
2016-02-29,2016,2,29,Monday,09,2016-09,58.25,59.15,58.1,58.21,7645100,51.32,-0.002228088001725026,50.35857142857143,50.919230769230765
2016-03-01,2016,3,1,Tuesday,09,2016-09,58.77,60.2,58.5,60.04,9183600,52.93,0.0314378077069124,50.712857142857146,50.9695
2016-03-02,2016,3,2,Wednesday,09,2016-09,59.83,60.0,58.83,59.56,8856400,52.51,-0.007994552435011237,50.99142857142857,51.00707317073171
